article_title_eng,article_eng,article_title_kor,article_kor
CHAPTER I GENERAL PROVISIONS,,제1장 총칙,
Article 1 (Purpose),"The purpose of this Act is to protect public property and commodities and to ensure appropriate acquisition, retainment, preservation, operation and disposal thereof.[This Article Wholly Amended on Dec. 26, 2008]",제1조(목적),이 법은 공유재산 및 물품을 보호하고 그 취득ㆍ유지ㆍ보존 및 운용과 처분의 적정을 도모함을 목적으로 한다.[전문개정 2008. 12. 26.]
Article 2 (Definitions),"The terms used in this Act are defined as follows:1. The term ""public property"" means any property prescribed in each subparagraph of Article 4 (1), which falls under the ownership of a local government at a cost to the local government, by contributed acceptance, or by enforcement of statutes;2. The term ""commodity"" means any movable property owned or kept for use by a local government, excluding the following:(a) Cash;(b) Securities;(c) Public property prescribed in Article 4;3. The term ""contributed acceptance"" means the gratuitous transfer of the ownership of property prescribed in any subparagraph of Article 4 (1) to a local government by a person other than a local government, and the acceptance thereof by the local government;4. The term ""management"" means any and all activities performed for the purposes of acquiring, operating, retaining, or preserving public property and commodities;5. The term “relevant local government” means a local government that owns public property or commodities;6. The term ""disposal"" means the transfer of the ownership of any public property or commodities to a person other than the relevant local government by means of sale, exchange, transfer, trust, contribution in kind, etc.;7. The term ""permission for use or profit-making"" means permitting any person other than the relevant local government to use or profit from any administrative property prescribed in Article 5 (2) for a fixed period, whether for a fee or at no charge;8. The term ""loan contract"" means any contract concluded to allow any person other than the relevant local government to use or profit from any general property prescribed in Article 5 (3) or commodities for a fixed period, whether for a fee or at no charge.[This Article Wholly Amended on Feb. 4, 2010]",제2조(정의),"이 법에서 사용하는 용어의 뜻은 다음과 같다.1. “공유재산”이란 지방자치단체의 부담, 기부채납(寄附採納)이나 법령에 따라 지방자치단체 소유로 된 제4조제1항 각 호의 재산을 말한다.2. “물품”이란 지방자치단체가 소유하는 동산(動産)과 지방자치단체가 사용하기 위하여 보관하는 동산 중 다음 각 목의 것을 제외한 동산을 말한다.가. 현금나. 유가증권다. 제4조에 따른 공유재산3. “기부채납”이란 지방자치단체 외의 자가 제4조제1항 각 호에 해당하는 재산의 소유권을 무상으로 지방자치단체에 이전하여 지방자치단체가 이를 취득하는 것을 말한다.4. “관리”란 공유재산 및 물품의 취득ㆍ운용과 유지ㆍ보존을 위한 모든 행위를 말한다.5. “해당 지방자치단체”란 공유재산 또는 물품을 소유한 지방자치단체를 말한다.6. “처분”이란 공유재산 및 물품의 매각, 교환, 양여(讓與), 신탁, 현물 출자 등의 방법으로 공유재산 및 물품의 소유권이 해당 지방자치단체 외의 자에게 이전되는 것을 말한다.7. “사용ㆍ수익허가”란 제5조제2항에 따른 행정재산을 해당 지방자치단체 외의 자가 일정 기간 유상이나 무상으로 사용ㆍ수익할 수 있도록 허용하는 것을 말한다.8. “대부계약”이란 제5조제3항에 따른 일반재산 또는 물품을 해당 지방자치단체 외의 자가 일정 기간 유상이나 무상으로 사용ㆍ수익할 수 있도록 체결하는 계약을 말한다.[전문개정 2010. 2. 4.]"
Article 2-2 (Relationship to Other Statutes),"Except as otherwise provided in other statutes, this Act shall apply to management or disposal of any public property and commodities.[This Article Newly Inserted on Feb. 4, 2010]",제2조의2(다른 법률과의 관계),공유재산 및 물품의 관리ㆍ처분에 관하여는 다른 법률에 특별한 규정이 있는 경우 외에는 이 법에서 정하는 바에 따른다.[본조신설 2010. 2. 4.]
Article 3 (Duty of Care of Public Officials Managing Public Property or Commodities),"Any public official engaged in duties of managing public property or commodities shall comply with this Act and other statutes or regulations pertaining to management of public property or commodities and perform his or her duties with due care as a good manager.[This Article Wholly Amended on Dec. 26, 2008]",제3조(공유재산 및 물품을 관리하는 공무원의 주의의무),공유재산 및 물품의 관리에 관한 사무에 종사하는 공무원은 이 법과 그 밖의 공유재산 및 물품의 관리에 관한 법령을 준수하고 선량한 관리자의 주의로써 사무에 종사하여야 한다.[전문개정 2008. 12. 26.]
Article 3-2 (Basic Principles for Management and Disposal of Public Property and Commodities),"Where a local government manages or disposes of any public property, it shall comply with the following principles:1. The common interests of the relevant local government shall be served;2. The acquisition or disposal of public property shall be made to strike a balance;3. The local government shall consider its public values and utility;4. The local government shall follow transparent and efficient procedures.[This Article Newly Inserted on Feb. 4, 2010]",제3조의2(공유재산 및 물품 관리ㆍ처분의 기본원칙),지방자치단체가 공유재산을 관리ㆍ처분하는 경우에는 다음 각 호의 원칙을 지켜야 한다.1. 해당 지방자치단체 전체의 이익에 맞도록 할 것2. 취득과 처분이 균형을 이룰 것3. 공공가치와 활용가치를 고려할 것4. 투명하고 효율적인 절차를 따를 것[본조신설 2010. 2. 4.]
CHAPTER II COMMON PROVISIONS ON PUBLIC PROPERTY,,제2장 공유재산 통칙,
Article 4 (Scope of Public Property),"(1) The scope of public property shall be as follows: <Amended on Feb. 4, 2010; Jan. 20, 2015>1. Real estate and the appurtenances thereof;2. Vessels, floating bridges, floating docks, and aircraft and the appurtenances thereof;3. Important machinery and apparatuses used for public-managed projects or public-managed facilities;4. Superficies, easements, leasehold rights, mining rights, and other rights equivalent thereto;5. Any of the following rights (hereinafter referred to as ""intellectual property""):(a) Patent rights, utility model rights, design rights, and trademark rights registered under the Patent Act, the Utility Model Act, the Design Protection Act and the Trademark Act;(b) Copyrights, neighboring copyrights, rights of database producers and other rights protected under the Copyright Act and registered with the Korea Copyright Commission pursuant to Articles 53 and 112 (1) of the same Act (hereinafter referred to as ""copyright, etc."");(c) Plant variety rights defined in subparagraph 4 of Article 2 of the Act on the Protection of New Varieties of Plants;(d) Intellectual property rights defined in subparagraph 3 of Article 3 of the Framework Act on Intellectual Property, other than the intellectual property rights provided for in items (a) through (c): Provided, That any right not registered under the Copyright Act shall be excluded herefrom;6. Stocks, rights arising from an investment, corporate bonds, local bond securities, state bond securities and other equivalent securities;7. Beneficial right of real estate trust;8. Property under construction among those prescribed in subparagraph 1 or 2.(2) The scope of machinery and apparatuses referred to in paragraphs (1) 3 shall be prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제4조(공유재산의 범위),"① 공유재산의 범위는 다음 각 호와 같다. <개정 2010. 2. 4., 2015. 1. 20.>1. 부동산과 그 종물(從物)2. 선박, 부잔교(浮棧橋), 부선거(浮船渠) 및 항공기와 그 종물3. 공영사업 또는 공영시설에 사용하는 중요한 기계와 기구4. 지상권ㆍ지역권ㆍ전세권ㆍ광업권과 그 밖에 이에 준하는 권리5. 다음 각 목의 어느 하나에 해당하는 권리(이하 “지식재산”이라 한다)가. 「특허법」ㆍ「실용신안법」ㆍ「디자인보호법」 및 「상표법」에 따라 등록된 특허권, 실용신안권, 디자인권 및 상표권나. 「저작권법」에 따른 저작권, 저작인접권 및 데이터베이스제작자의 권리 및 그 밖에 같은 법에서 보호되는 권리로서 같은 법 제53조 및 제112조제1항에 따라 한국저작권위원회에 등록된 권리(이하 “저작권등”이라 한다)다. 「식물신품종 보호법」 제2조제4호에 따른 품종보호권라. 가목부터 다목까지의 규정에 따른 지식재산 외에 「지식재산 기본법」 제3조제3호에 따른 지식재산권. 다만, 「저작권법」에 따라 등록되지 아니한 권리는 제외한다.6. 주식, 출자로 인한 권리, 사채권ㆍ지방채증권ㆍ국채증권과 그 밖에 이에 준하는 유가증권7. 부동산신탁의 수익권8. 제1호 및 제2호의 재산으로 건설 중인 재산② 제1항제3호의 기계와 기구의 범위는 대통령령으로 정한다.[전문개정 2008. 12. 26.]"
Article 5 (Classifications and Types of Public Property),"(1) Public property shall be classified into administrative property and general property, according to its purpose of use.(2) “Administrative property” means the following property:1. Property for official use: Property that a local government directly uses or decides to directly use for administrative or business purposes or as a residential campus for public officials, and property under construction for such purposes;2. Property for public use: Property that a local government directly uses or decides to directly use for public purposes, and property under construction for such purposes;3. Property for enterprises: Property that a local government uses or decides to use for an enterprise managed by the local government or as a residential campus for employees belonging to such enterprise, and property under construction for such purpose;4. Property for preservation: Property that a local government preserves or decides to preserve pursuant to statutes, regulations, municipal ordinances or rules, or for other necessities.(3) “General property” means all public property other than administrative property.[This Article Wholly Amended on Dec. 26, 2008]",제5조(공유재산의 구분과 종류),① 공유재산은 그 용도에 따라 행정재산과 일반재산으로 구분한다.② “행정재산”이란 다음 각 호의 재산을 말한다.1. 공용재산지방자치단체가 직접 사무용ㆍ사업용 또는 공무원의 거주용으로 사용하거나 사용하기로 결정한 재산과 사용을 목적으로 건설 중인 재산2. 공공용재산지방자치단체가 직접 공공용으로 사용하거나 사용하기로 결정한 재산과 사용을 목적으로 건설 중인 재산3. 기업용재산지방자치단체가 경영하는 기업용 또는 그 기업에 종사하는 직원의 거주용으로 사용하거나 사용하기로 결정한 재산과 사용을 목적으로 건설 중인 재산4. 보존용재산법령ㆍ조례ㆍ규칙에 따라 또는 필요에 의하여 지방자치단체가 보존하고 있거나 보존하기로 결정한 재산③ “일반재산”이란 행정재산 외의 모든 공유재산을 말한다.[전문개정 2008. 12. 26.]
Article 6 (Protection of Public Property),"(1) No person shall use or profit from public property unless he or she complies with the procedures and methods prescribed by this Act or any other Act.(2) No administrative property shall be subject to acquisition by prescription, notwithstanding Article 245 of the Civil Act.[This Article Wholly Amended on Feb. 4, 2010]",제6조(공유재산의 보호),① 누구든지 이 법 또는 다른 법률에서 정하는 절차와 방법에 따르지 아니하고는 공유재산을 사용하거나 수익하지 못한다.② 행정재산은 「민법」 제245조에도 불구하고 시효취득(時效取得)의 대상이 되지 아니한다.[전문개정 2010. 2. 4.]
