article_title_eng,article_eng,article_title_kor,article_kor
CHAPTER I GENERAL PROVISIONS,,제1장 총칙,
Article 1 (Purpose),"The purpose of this Act is to resolve inconveniences in the exercise of ownership of land and the use of land and to ensure the appropriateness of the land management system, by permitting landowners to subdivide jointly-owned land based on the current status of occupation.",제1조(목적),이 법은 공유토지를 현재의 점유상태를 기준으로 분할할 수 있게 함으로써 토지에 대한 소유권행사와 토지의 이용에 따르는 불편을 해소하고 토지관리제도의 적정을 도모함을 목적으로 한다.
Article 2 (Definitions),"The terms used in this Act shall be defined as follows: <Amended by Act No. 12634, May 21, 2014; Act No. 12738, Jun. 3, 2014; Act No. 13805, Jan. 19, 2016>1. The term ""cadastral record"" means a cadastral record defined in subparagraph 19 of Article 2 of the Act on the Establishment, Management, etc. of Spatial Data;2. The term ""competent cadastral authority"" means the competent cadastral authority defined in subparagraph 18 of Article 2 of the Act on the Establishment, Management, etc. of Spatial Data;3. The term ""co-owned land"" means land falling under any of the following:a. a parcel of land the title to which is registered in the names of at least two owners in the relevant register;b. a parcel of land separately managed and divided by a road or any other similar facility, which is an urban/Gun planning facility defined in subparagraph 7 of Article 2 of the National Land Planning and Utilization Act, in a tract of land on which houses, appurtenant facilities, or welfare facilities have been built with the approval of a project plan under Article 15 of the Housing Act; 4. The term ""cadastral survey product"" means a land survey products registered in actual cadastral survey maps, the area measurement register, and the cadastral survey register prepared subsequent to a cadastral survey;5. The term ""interested party"" means a person whose rights and interests, other than ownership, are registered in the register for a parcel of co-owned land subject to partition(excluding persons holding a right to attachment, provisional attachment, or provisional injunction).",제2조(정의),"이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2014.5.21., 2014.6.3., 2016.1.19.>1. ""지적공부""란 「공간정보의 구축 및 관리 등에 관한 법률」 제2조제19호에 따른 지적공부를 말한다.2. ""지적소관청""이란 「공간정보의 구축 및 관리 등에 관한 법률」 제2조제18호에 따른 지적소관청을 말한다.3. ""공유토지""란 다음 각 목의 어느 하나에 해당하는 토지를 말한다.가. 한 필지의 토지가 그 등기부에 2명 이상의 소유명의로 등기된 토지나. 「주택법」 제15조에 따른 사업계획 승인을 받아 주택과 부대시설 및 복리시설을 건설한 일단(一團)의 토지 중 「국토의 계획 및 이용에 관한 법률」 제2조제7호의 도시ㆍ군계획시설인 도로나 그 밖에 이와 유사한 시설로 분리되어 각각 관리되고 있는 각각의 토지4. ""지적측량성과""란 지적측량을 실시하여 작성한 측량결과도, 면적측정부 및 측량부에 등재된 측량성과를 말한다.5. ""이해관계인""이란 분할대상공유토지등기부에 소유권 외의 권리를 등기한 자(압류ㆍ가압류 및 가처분의 권리자는 제외한다)를 말한다."
Article 3 (Scope of Application),"(1) Land eligible for partition under this Act shall be co-owned land (including multiple parcels of co-owned land adjacent to one another, each of which is owned by the same co-owners; hereafter the same shall apply in this Article) out of which at least one-third of all co-owners occupy a specified portion of land equivalent to each co-owner's share respectively for not less than one year by owning a building on the land (including a case where co-owners permit a third party to own a building thereon).(2) Notwithstanding paragraph (1), this Act shall apply to the land for the welfare facilities prescribed in subparagraph 14 of Article 2 of the Housing Act, excluding the following facilities: <Newly Inserted by Act No. 12634, May 21, 2014; Act No. 13805, Jan. 19, 2016> 1. Neighborhood community facilities;2. Other facilities prescribed by Presidential Decree. (3) For the purposes of calculating the period of occupation under paragraph (1), when occupation is succeeded, the period during which a person who succeeds occupation has occupied shall be deemed the period during which the person who succeeds has occupied. <Amended by Act No. 12634, May 21>(4) 　Land which falls under any of the following shall no be subject to partition under this Act: <Amended by Act No. 12634, May 21>1. Land regarding which a court ruling on a lawsuit seeking the partition of co-owned land or any similar lawsuit has been rendered to order the partition or such lawsuit is still pending in a court;2. Land on which owners have made an agreement not to divide pursuant to the proviso to Article 268 (1) of the Civil Act.",제3조(적용대상),"① 이 법에 따른 분할의 대상이 되는 토지는 공유토지(서로 인접한 여러 필지의 공유토지로서 각 필지의 공유자가 같은 토지를 포함한다. 이하 이 조에서 같다)로서 공유자 총수의 3분의 1 이상이 그 지상에 건물을 소유하는 방법(제3자로 하여금 건물을 소유하게 하는 경우를 포함한다)으로 1년 이상 자기지분에 상당하는 토지부분을 특정하여 점유하고 있는 토지로 한다.② 제1항에도 불구하고 「주택법」 제2조제14호에 따른 복리시설 중 다음 각 호의 시설을 제외한 나머지 시설의 토지에 대하여는 이 법을 적용한다. <신설 2014.5.21., 2016.1.19.>1. 근린생활시설2. 그 밖에 대통령령으로 정하는 시설③ 제1항에 따른 점유기간을 계산함에 있어서 점유의 승계가 있는 때에는 승계를 하게 하는 사람이 점유한 기간은 승계를 하는 사람이 점유한 기간으로 본다. <개정 2014.5.21.>④ 다음 각 호의 어느 하나에 해당하는 토지는 이 법에 따른 분할을 할 수 없다. <개정 2014.5.21.>1. 공유물분할의 소 또는 이에 준하는 소송에서 공유물분할 또는 이에 준하는 내용의 판결이 있었거나 이에 관한 소송이 법원에 계속 중인 토지2. 「민법」 제268조제1항 단서에 따라 분할하지 아니할 것을 약정한 토지"
Article 4 (Competent Authority for Administrative Affairs),The competent cadastral authority shall govern administrative affairs regarding the partition of co-owned land under this Act.,제4조(사무의 관장),이 법에 따른 공유토지의 분할사무는 지적소관청이 관장한다.
Article 5 (Principles for Subdivision),"(1) The partition of co-owned land under this Act shall be based on the status of occupation of the land by each co-owner: Provided, That if co-owners who occupy portions of land adjacent to one another have made an agreement (referring to an agreement that includes the liquidation money for the partition; the same shall apply hereafter in this Article) that the land would be partitioned inconsistently with the current status of occupation, the land shall be divided according to such agreement. (2) If the relevant co-owners have agreed upon the partition of the portions possessed by each co-owner but such portions have not been identified or it is unclear whether such portions have been identified, the land shall be partitioned in accordance with the agreement.(3) The partition of co-owned land under this Act shall be made in kind. In such cases, partition by compensating for the price shall be included.",제5조(분할의 원칙),"① 이 법에 따른 공유토지의 분할은 각 공유자가 현재 점유하고 있는 상태를 기준으로 하여 행한다. 다만, 서로 인접한 토지부분을 점유한 공유자 간에 그 점유하고 있는 상태와 다르게 분할하기로 합의(그 분할에 따른 청산금을 포함한 합의를 말한다. 이하 이 조에서 같다)한 경우에는 그 합의에 따라 분할한다.② 공유토지 중 점유부분이 특정되지 아니하거나 특정여부가 불분명한 부분에 대하여 해당 공유자 간에 합의가 있는 경우에는 그 합의에 따라 분할한다.③ 이 법에 따른 공유토지의 분할은 현물로 한다. 이 경우 가격배상에 의한 분할을 포함한다."
Article 6 (Relationship to other Acts),"(1) 　The provisions regarding restrictions on the partition of land prescribed in the following Acts shall not apply to the partition of co-owned land under this Act: <Amended by Act No. 12634, May 21>1. Article 56 (1) 4 of the National Land Planning and Utilization Act;2. Article 57 of the Building Act;3. Articles 8 and 19 of the Act on Ownership and Management of Condominium Buildings.(2) 　In the case of the partition of co-owned land under this Act, the provisions regarding restrictions on the partition of land under Article 5 (1)　and (7) of the Act on the Maintenance and Improvement of Urban Areas and Dwelling Conditions for Residents shall not apply to the land for the welfare facilities prescribed in subparagraph 14 of Article 2 of the Housing Act excluding the facilities specified in the subparagraphs of Article 3 (2). <Newly Inserted by Act No. 12634, May 21, 2014; Act No. 13805, Jan. 19, 2016>　",제6조(다른 법률과의 관계),"① 이 법에 따라 공유토지를 분할함에 있어서 다음 각 호의 법률에서 정하고 있는 토지분할제한에 관한 규정은 적용하지 아니한다. <개정 2014.5.21.>1. 「국토의 계획 및 이용에 관한 법률」 제56조제1항제4호2. 「건축법」 제57조3. 「집합건물의 소유 및 관리에 관한 법률」 제8조 및 제19조② 이 법에 따라 공유토지를 분할하는 경우 「주택법」 제2조제14호에 따른 복리시설 중 제3조제2항 각 호의 시설을 제외한 시설의 토지에 대하여는 「도시 및 주거환경정비법」 제5조제1항 및 제7항에서 정하고 있는 토지분할제한에 관한 규정은 적용하지 아니한다. <신설 2014.5.21., 2016.1.19.>"
"Article 7 (Limitations, etc. on Co-Owners and Interested Parties)","(1) For the purposes of procedures after a decision is made to commence partition under Article 16 (1), co-owners and interested parties shall be limited to the co-owners and interested parties registered in the register of the decision to commence partition under Article 17: Provided, That the foregoing shall not apply where a co-owner or interested party who acquires a right or interest after the decision to commence partition is registered files a report as to his/her right or interest, proving his/her right or interest.(2) A person who acquires a right or interest by succession under the proviso to paragraph (1) shall succeed to the status of the person whose status is succeeded to in procedures for subdivision.",제7조(공유자 및 이해관계인의 제한 등),"① 제16조제1항에 따른 분할개시결정 이후의 절차에 있어서 공유자 및 이해관계인은 제17조에 따른 분할개시결정의 등기에 기재된 공유자 및 이해관계인으로 한정한다. 다만, 분할개시결정의 등기 이후에 권리를 취득한 공유자 또는 이해관계인이 그 권리를 증명하여 신고한 경우에는 그러하지 아니하다.② 제1항 단서에 따라 권리를 승계취득한 자는 분할절차에 있어서 승계를 하게 하는 자의 지위를 승계한다."
Article 8 (Special Cases concerning Service of Documents),"(1) The notice or any other document to a co-owner or interested party shall be deemed served on the date immediately following one week from the date on which such notice or document is dispatched to the address on registry of the co-owner or interested party (if a different address has been reported to the competent cadastral authority, the reported address) by registered mail.(2) In cases falling under paragraph (1), if it is impracticable to serve a document because of the return of mail, an incorrect address, etc., such document shall be deemed served at the end of the period of two weeks during which the document has been posted on the bulletin board of an office affiliated to the competent cadastral authority.(3) 　Where the notice or any other document is to be served with respect to any co-owned land prescribed in subparagraph 3 (b) of Article 2 in accordance with Articles 18 (7), 22 (3), 29 (1), 31 (1) and (3), or 39, notwithstanding paragraph (1), the dispatch of notice or document by registered mail may be replaced by a public notification for not less than three weeks on the bulletin board of an office affiliated to the competent cadastral authority and the bulletin board and website of the management office of a multi-family housing subject to partition. In such cases, the service of notice or any other document shall be construed made on the date of the public notification. <Newly Inserted by Act No. 12634, May 21, 2014> ",제8조(서류송달의 특례),"① 공유자 또는 이해관계인에 대한 통지나 그 밖의 서류의 송달에 있어서는 공유자 또는 이해관계인의 등기부상의 주소(지적소관청에 다른 주소를 신고한 경우에는 그 신고된 주소)에 서류를 등기우편으로 발송한 날부터 1주가 지난 날에 송달된 것으로 본다.② 제1항의 경우 우편물의 반송, 주소불명 등의 사유로 서류의 송달이 불가능할 때에는 지적소관청 관할 사무소의 게시판에 2주간 이를 게시하여 그 기간이 종료한 날에 송달된 것으로 본다.③ 제2조제3호나목에 따른 공유토지로서 제18조제7항, 제22조제3항, 제29조제1항, 제31조제1항ㆍ제3항 및 제39조에 따라 송달 또는 통지를 하는 경우에는 제1항에도 불구하고 지적소관청 관할 사무소의 게시판과 분할대상 공동주택 관리사무소의 게시판 및 인터넷 홈페이지에 3주 이상 공고하는 것으로서 같은 항에 따른 등기우편의 발송을 갈음할 수 있다. 이 경우 해당 공고가 있는 날에 그 송달 또는 통지가 있는 것으로 본다. <신설 2014.5.21.>"
CHAPTER II CO-OWNED LAND PARTITION COMMITTEE,,제2장 공유토지분할위원회,
