article_title_eng,article_eng,article_title_kor,article_kor
CHAPTER I GENERAL PROVISIONS,,제1장 총칙,
Article 1 (Purpose),"The purpose of this Act is to redress imbalance between regions and to facilitate self-sufficient development suitable for regional characteristics, thereby contributing to the improvement of nationals’ livelihoods and balanced national development. <Amended on Jan. 7, 2014; Mar. 20, 2018>[This Article Wholly Amended on Apr. 22, 2009]",제1조(목적),"이 법은 지역 간의 불균형을 해소하고, 지역의 특성에 맞는 자립적 발전을 통하여 국민생활의 균등한 향상과 국가균형발전에 이바지함을 목적으로 한다. <개정 2014. 1. 7., 2018. 3. 20.>[전문개정 2009. 4. 22.]"
Article 2 (Definitions),"The terms used in this Act are defined as follows: <Amended on May 19, 2011; Jan. 7, 2014; Jul. 24, 2015; Mar. 21, 2017; Mar. 20, 2018; Apr. 7, 2020; Dec. 8, 2020>1. The term ""balanced national development"" means improving the quality of life and pursuing sustainable development by promoting the equal chance of development among regions and enhancing independent development capabilities of regions, thereby building a society where the whole nation thrives without harming each person’s individuality;1-2. The term “regional innovation” means developing human and material resources and creating, utilizing and disseminating the development capabilities in regions in accordance with regional environment and characteristics in fields including science and technology, industrial production, support for businesses, culture and finance;2. The term ""basic living area"" means an area designated by Sis (including Special Metropolitan City, Metropolitan City, Special Self-Governing City and the administrative cities under Article 10 of the Special Act on the Establishment of Jeju Special Self-Governing Province and the Development of Free International City; hereinafter the same shall apply), Guns (including Guns in Metropolitan Cities; hereinafter the same shall apply) and Gus (referring to autonomous Gus; hereinafter the same shall apply) after consulting with neighboring Sis, Guns and Gus in order to increase livelihood support which is necessary to improve the quality of life of local residents, such as job opportunities, education, culture, welfare, housing, security and environment;3. The term “cooperative inter-region” means a region designated by Special Metropolitan City, Metropolitan City, Special Self-Governing City, Special Self-Governing City, Do, and Self-Governing Province (hereinafter referred to as “City/ Do”) after consultations among themselves in order to promote a cooperative project in industry and transportation, etc. that is necessary for developing regional economy and strengthening potential of growth;4. The term “local specialized industry” means an industry that is to be promoted by a City/Do taking advantage of regional characteristics and conditions and which is designated pursuant to Article 11 (1);5. The term ""specialized industry of cooperative inter-region"" means an industry in the cooperative inter-region that significantly contributes to enhancing balanced development and national competitiveness and which is designated pursuant to Article 11 (1);6. The term ""growth promotion area"" means an area prescribed by Presidential Decree considering the status of its income, population, financial standing, etc. as requiring special support from the State and a relevant local government for the construction of infrastructure necessary to promote its economic and social growth, such as road and water supply system, as it has poor living conditions and is considerably underdeveloped;7. The term ""area of special concern"" means any of the following areas, which requires special supportive measures by administrative means, etc. from relevant central administrative agencies for a certain period, due to the division of Korea or as it is placed at a disadvantage geographically or socially:(a) Border areas under subparagraph 1 of Article 2 of the Special Act on Support for Border Area;(b) Islands subject to development under Article 4 (1) of the Islands Development Promotion Act: Provided, That the islands falling under growth promotion areas shall be excluded therefrom;(c) Saemangeum Project Area referred to in subparagraph 1 of Article 2 of the Special Act on Promotion and Support for Saemangeum Project;(d) Other areas prescribed by Presidential Decree as equivalent to the areas referred to in items (a) through (c);8. The term ""rural area"" means an agricultural or fishing village under subparagraph 1 of Article 2 of the Agricultural and Fishing Villages Improvement Act and any mountain village under subparagraph 2 of Article 3 of the Framework Act on Forestry;8-2. The term ""special area for responding to industrial crisis"" means an area designated under Article 17, which requires the Government’s support for a certain period since the condition of regional industries worsens or is likely to worsen because the major industry of the area is in danger;9. The term ""depopulation region"" means an area prescribed by Presidential Decree in consideration of birth rate, population of senior citizens aged 65 or over, population of the youth aged 14 or under, population of working age, etc. among Si (excluding Special Metropolitan City)/Gun/Gu at risk of extinction by depopulation;10. The term ""public institution"" means a central administrative agency, a public entity under Article 4 of the Act on the Management of Public Institutions, and other public organizations prescribed by Presidential Decree;11. The term “national innovation cluster"" means an area designated and publicly notified under Article 18-3 as a growth hub, which promotes generation of new economic and industrial synergy effects and contributes to balanced national development and revitalization of local economy, by utilizing existing areas, districts, complexes and special zones having physical and human infrastructures;12. The term ""Seoul metropolitan area"" means the Seoul metropolitan area provided for in subparagraph 1 of Article 2 of the Seoul Metropolitan Area Readjustment Planning Act.[This Article Wholly Amended on Apr. 22, 2009]",제2조(정의),"이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2011. 5. 19., 2014. 1. 7., 2015. 7. 24., 2017. 3. 21., 2018. 3. 20., 2020. 4. 7., 2020. 12. 8.>1. “국가균형발전”이란 지역 간 발전의 기회균등을 촉진하고 지역의 자립적 발전역량을 증진함으로써 삶의 질을 향상하고 지속가능한 발전을 도모하여 전국이 개성있게 골고루 잘 사는 사회를 구현하는 것을 말한다.1의2. “지역혁신”이란 지역의 인적ㆍ물적 자원개발과 과학기술ㆍ산업생산ㆍ기업지원ㆍ문화ㆍ금융 등의 분야에서 지역별 여건과 특성에 따라 지역의 발전역량을 창출ㆍ활용ㆍ확산시키는 것을 말한다.2. “기초생활권”이란 지역 주민의 삶의 질 향상에 필요한 일자리 및 교육ㆍ문화ㆍ복지ㆍ주거ㆍ안전ㆍ환경 등의 생활기반을 확충하기 위하여 시(특별시, 광역시, 특별자치시 및 「제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법」 제10조에 따른 행정시를 포함한다. 이하 같다)ㆍ군(광역시의 군을 포함한다. 이하 같다)ㆍ구(자치구를 말한다. 이하 같다)가 인근 시ㆍ군ㆍ구와 협의하여 설정한 권역을 말한다.3. “광역협력권”이란 지역의 경제발전과 성장잠재력 확충에 필요한 산업 및 교통 등의 협력사업 추진을 위하여 특별시ㆍ광역시ㆍ특별자치시 및 도ㆍ특별자치도(이하 “시ㆍ도”라 한다)가 상호 협의하여 설정한 권역을 말한다.4. “지역특화산업”이란 지역의 특성과 여건을 활용하여 추진하는 시ㆍ도의 산업으로서 제11조제1항에 따라 선정된 산업을 말한다.5. “광역협력권산업”이란 국가균형발전 및 국가경쟁력 향상에 기여도가 높은 광역협력권의 산업으로서 제11조제1항에 따라 선정된 산업을 말한다.6. “성장촉진지역”이란 생활환경이 열악하고 개발수준이 현저하게 저조하여 해당 지역의 경제적ㆍ사회적 성장을 촉진하기 위하여 필요한 도로, 상수도 등의 지역사회기반시설의 구축 등에 국가와 지방자치단체의 특별한 배려가 필요한 지역으로서 소득, 인구, 재정상태 등을 고려하여 대통령령으로 정하는 지역을 말한다.7. “특수상황지역”이란 남북의 분단 상황 또는 지리적ㆍ사회적으로 불리한 환경에 놓이게 되어 일정기간 동안 관계 중앙행정기관에 의한 행정지원 등 특수한 지원 조치가 필요한 지역으로서 다음 각 목의 어느 하나에 해당하는 지역을 말한다.가. 「접경지역 지원 특별법」 제2조제1호에 따른 접경지역나. 「도서개발 촉진법」 제4조제1항에 따른 개발대상도서. 다만, 성장촉진지역에 해당하는 도서는 제외한다.다. 「새만금사업 추진 및 지원에 관한 특별법」 제2조제1호에 따른 새만금사업지역라. 그 밖에 가목부터 다목까지의 규정에 따른 지역에 준하는 지역으로서 대통령령으로 정하는 지역8. “농산어촌”이란 「농어촌정비법」 제2조제1호에 따른 농어촌과 「산림기본법」 제3조제2호에 따른 산촌을 말한다.8의2. “산업위기대응특별지역”이란 지역의 주된 산업이 위기에 처하여 지역경제여건이 악화되거나 악화될 우려가 있어 일정기간 동안 정부의 지원이 필요한 지역으로서 제17조에 따라 지정되는 지역을 말한다.9. “인구감소지역”이란 인구감소로 인한 지역소멸이 우려되는 시(특별시는 제외한다)ㆍ군ㆍ구를 대상으로 출생률, 65세 이상 고령인구, 14세 이하 유소년인구 또는 생산가능인구의 수 등을 고려하여 대통령령으로 정하는 지역을 말한다.10. “공공기관”이란 중앙행정기관, 「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관, 그 밖의 공공단체 중 대통령령으로 정하는 기관을 말한다.11. “국가혁신융복합단지”란 물적ㆍ인적 인프라가 갖추어진 기존의 구역ㆍ지구ㆍ단지ㆍ특구를 활용하여 새로운 경제적ㆍ산업적 상승효과의 발생을 촉진하고, 국가균형발전 및 지역경제 활성화에 이바지하는 성장거점으로서 제18조의3에 따라 지정ㆍ고시되는 지역을 말한다.12. “수도권”이란 「수도권정비계획법」 제2조제1호에 따른 수도권을 말한다.[전문개정 2009. 4. 22.]"
Article 3 (Duties and Responsibilities of State and Local Governments),"The State and local governments shall secure budget required for balanced development between regions and independent development suitable for regional characteristics as well as formulating and promoting region-driven relevant measures. <Amended on Jan. 7, 2014; Mar. 20, 2018>[This Article Wholly Amended on Apr. 22, 2009]",제3조(국가 및 지방자치단체의 책무),"국가 및 지방자치단체는 지역 간의 균형 있는 발전과 지역의 특성에 맞는 자립적 발전을 위하여 필요한 예산을 확보하고 지역주도의 관련 시책을 수립ㆍ추진하여야 한다. <개정 2014. 1. 7., 2018. 3. 20.>[전문개정 2009. 4. 22.]"
CHAPTER II FIVE-YEAR BALANCED　NATIONAL DEVELOPMENT PLAN,,제2장 국가균형발전 5개년계획 등,
Article 4 (Formulation of Five-Year Balanced National Development Plans),"(1) The Government shall formulate a five-year balanced national development plan (hereinafter referred to as ""balanced national development plan) every five years based on the sectoral development plan under Article 5 (1) and the regional plan under Article 7 (1) to accelerate balanced national development. <Amended on Jan. 7, 2014; Mar. 20, 2018>(2) A balanced national development plan shall include the followings: <Amended on Jan. 7, 2014: Mar. 20, 2018; Dec. 8, 2020>1. Matters relating to the objectives of balanced national development;2. Matters relating to establishing and activating regional innovation systems;3. Matters relating to increasing livelihood support for residents and enhancing regional development capacity;4. Matters relating to invigorating regional economies, such as the fostering of regional industries and job creation;5. Matters relating to improving educational conditions in the region, fostering regional human resources and promoting regional science and technology;6. Matters relating to promoting science and technology in the region;7. Matters relating to developing regional development hubs and expanding transport and logistics networks;8. Matters relating to promoting regional culture/tourism and preserving environment;9. Matters relating to expanding regional welfare, health and medical care;10. Matter relating to activating regional finances;11. Matters relating to accelerating the development of growth promotion areas, areas of special concern, rural areas, etc. and reducing the gap between rural and urban areas;12. Matters relating to relocating public institutions, etc. to provincial areas and reinvigorating innovation cities;13. Matters relating to designating and fostering national innovation clusters;14. Matters relating to concluding regional development investment agreements;15. Matters relating to securing financial resources for investment;16. Matters relating to designation of depopulation region, and promotion of policies and support for depopulation region;17. Other matters necessary for balanced national development.(3) A balanced national development plan shall be linked to the State financial management plan under Article 7 of the National Finance Act, a national land plan under Article 6 of the Framework Act on the National Land, and basic plans on low birth rates in aging society referred to in Article 20 of the Framework Act on Low Birth Rate in an Aging Society. <Amended on Mar. 20, 2018; Dec. 8, 2020>(4) A balanced national development plan shall be approved by the President following the deliberation of the State Council. The same shall apply to modifications of the balanced national development plan that has already been formulated. <Amended on Mar. 20, 2018>(5) Matters necessary for a procedure for formulating a balanced national development plan, etc. shall be prescribed by Presidential Decree. <Amended on Mar. 20, 2018>[This Article Wholly Amended on Apr. 22, 2009][Title Amended on Mar. 20, 2018]",제4조(국가균형발전 5개년계획의 수립),"① 정부는 국가균형발전을 촉진하기 위하여 제5조제1항에 따른 부문별 발전계획안과 제7조제1항에 따른 시ㆍ도 발전계획을 기초로 하여 5년을 단위로 하는 국가균형발전 5개년계획(이하 “국가균형발전계획”이라 한다)을 수립한다. <개정 2014. 1. 7., 2018. 3. 20.>② 국가균형발전계획에는 다음 각 호의 사항이 포함되어야 한다. <개정 2014. 1. 7., 2018. 3. 20., 2020. 12. 8.>1. 국가균형발전의 목표에 관한 사항2. 지역혁신체계의 구축 및 활성화에 관한 사항3. 주민 생활기반 확충과 지역 발전역량 강화에 관한 사항4. 지역산업 육성 및 일자리 창출 등 지역경제 활성화에 관한 사항5. 지역의 교육여건 개선과 인재 양성에 관한 사항6. 지역의 과학기술 진흥에 관한 사항7. 국가균형발전 거점 육성과 교통ㆍ물류망 확충에 관한 사항8. 지역의 문화ㆍ관광 육성 및 환경 보전에 관한 사항9. 지역의 복지 및 보건의료 확충에 관한 사항10. 지역금융 활성화에 관한 사항11. 성장촉진지역, 특수상황지역, 농산어촌 등의 개발촉진에 관한 사항 및 농산어촌과 도시 간 격차 완화에 관한 사항12. 공공기관 등의 지방이전 및 혁신도시 활성화에 관한 사항13. 국가혁신융복합단지의 지정ㆍ육성에 관한 사항14. 지역발전투자협약의 체결 등에 관한 사항15. 투자재원의 조달에 관한 사항16. 인구감소지역의 지정, 인구감소지역에 대한 시책추진 및 지원에 관한 사항17. 그 밖에 국가균형발전을 위하여 필요한 사항③ 국가균형발전계획은 「국가재정법」 제7조에 따른 국가재정운용계획, 「국토기본법」 제6조에 따른 국토계획 및 「저출산ㆍ고령사회기본법」 제20조에 따른 저출산ㆍ고령사회기본계획과 연계되어야 한다. <개정 2018. 3. 20., 2020. 12. 8.>④ 국가균형발전계획은 국무회의의 심의를 거쳐 대통령의 승인을 받아야 한다. 수립된 국가균형발전계획을 변경할 때에도 또한 같다. <개정 2018. 3. 20.>⑤ 국가균형발전계획의 수립절차 등에 관하여 필요한 사항은 대통령령으로 정한다. <개정 2018. 3. 20.>[전문개정 2009. 4. 22.][제목개정 2018. 3. 20.]"
Article 5 (Formulation of Sectoral Development Plans and Action Plans),"(1) The head of a central administrative agency shall establish a sectoral development plan every five years after consulting with the heads of relevant central administrative agencies, Special Metropolitan City Mayor, Metropolitan City Mayor, Special Self-Governing City Mayor, Do Governors and Special Self-Governing Province Governor (hereinafter referred to as ""Mayor/Do Governor""). <Amended on Jan. 7, 2014>(2) When the head of a central administrative agency establishes the sectoral development plan under paragraph (1), he or she shall take into consideration the regional plan under Article 7 (1). <Amended on Jan. 7, 2014>(3) The head of a central administrative agency shall formulate and implement a sectoral action plan for balanced national development (hereinafter referred to as ""sectoral action plan"") to implement the balanced national development plan. <Amended on Mar. 20, 2018>(4) The head of a central administrative agency shall submit the sectoral development plan, the results of promoting the sectoral action plan of the preceding year and the sectoral action plan of the relevant year to the Presidential Committee for Balanced National Development under Article 22 (hereinafter referred to as the ""Presidential Committee for Balanced National Development"") as prescribed by Presidential Decree. <Amended on Mar. 20, 2018>(5) Matters necessary for procedures for formulating a sectoral development plan, sectoral action plan, etc. shall be prescribed by Presidential Decree.[This Article Wholly Amended on Apr. 22, 2009]",제5조(부문별 발전계획안 및 시행계획의 수립),"① 중앙행정기관의 장은 관계 중앙행정기관의 장 및 특별시장ㆍ광역시장ㆍ특별자치시장ㆍ도지사ㆍ특별자치도지사(이하 “시ㆍ도지사”라 한다)와 협의하여 5년을 단위로 하는 부문별 발전계획안을 수립한다. <개정 2014. 1. 7.>② 중앙행정기관의 장은 제1항에 따른 부문별 발전계획안을 수립할 때에는 제7조제1항에 따른 시ㆍ도 발전계획을 고려하여야 한다. <개정 2014. 1. 7.>③ 중앙행정기관의 장은 국가균형발전계획을 시행하기 위하여 매년 부문별 국가균형발전시행계획(이하 “부문별 시행계획”이라 한다)을 수립ㆍ시행하여야 한다. <개정 2018. 3. 20.>④ 중앙행정기관의 장은 대통령령으로 정하는 바에 따라 부문별 발전계획안, 전년도의 부문별 시행계획의 추진 실적과 해당 연도의 부문별 시행계획을 제22조에 따른 국가균형발전위원회(이하 “국가균형발전위원회”라 한다)에 제출하여야 한다. <개정 2018. 3. 20.>⑤ 부문별 발전계획안 및 부문별 시행계획의 수립절차 등에 관하여 필요한 사항은 대통령령으로 정한다.[전문개정 2009. 4. 22.]"
"Article 5-2  Deleted. <Jan. 7, 2014>",,제5조의2 삭제 <2014. 1. 7.>,
"Article 6 Deleted. <Jan. 7, 2014>",,제6조 삭제 <2014. 1. 7.>,
Article 7 (Formulation of City/Do Development Plans),"(1) A Mayor/Do Governor shall, after consulting with the head of a relevant central administrative agency, formulate a City/Do development plan (hereinafter referred to as ""City/Do plan"") every five years to promote the region-specific development and to enhance competitiveness of the relevant City/Do. <Amended on Jan. 7, 2014>(2) Following matters shall be included in a City/Do plan: <Newly Inserted on Jan. 7, 2014; Oct. 31, 2017; Mar. 20, 2018; Dec. 8, 2020>1. Matters relating to the objectives of development for each City/Do;1-2. Matters relating to assessment results including promotion results and performance of the immediately preceding City/Do plan;2. Matters relating to analysis of the current status and conditions of each City/Do;3. Matters relating to establishing and activating regional innovation systems, and matters to promoting industries, creating jobs, designating and developing national innovation clusters, improving regional education environment and fostering human resources, promoting science and technology, promoting balanced national development hubs and expanding transport and logistics networks;4. Matters relating to fostering culture/tourism, preserving environment and expanding welfare, health and medical care;5. Matters relating to addressing imbalance between regions in the City/Do;6. Matters relating to the connectivity, cooperation and development among Cities/Dos;7. Matters relating to activating regional finances;8. Matters relating to concluding regional development investment agreements;9. Matters relating to securing financial resources for investment;10. Matters relating to designation of depopulation region, and promotion of policies and support for depopulation region;11. Other matters necessary for the development of a City/Do.(3) The Mayor/Do Governor shall formulate a City/Do development action plan (hereinafter referred to as ""City/Do action plan"") each year to efficiently promote the relevant City/Do plan. <Newly Inserted on Jan. 7, 2014>(4) A Mayor/Do Governor shall submit the results of promoting City/Do action plans of the preceding year and the City/Do action plan of the relevant year to the Presidential Committee for Balanced National Development and relevant central administrative agencies. <Newly Inserted on Jan. 7, 2014; Mar. 20, 2018>(5) Matters necessary for a procedure for formulating the City/Do plan and the City/Do action plan, etc. shall be prescribed by Presidential Decree. <Newly Inserted on Jan. 7, 2014>[This Article Wholly Amended on Apr. 22, 2009]",제7조(시ㆍ도 발전계획의 수립),"① 시ㆍ도지사는 해당 시ㆍ도의 특성 있는 발전과 경쟁력 향상을 위하여 관계 중앙행정기관의 장과 협의하여 5년을 단위로 하는 시ㆍ도 발전계획(이하 “시ㆍ도 계획”이라 한다)을 수립한다. <개정 2014. 1. 7.>② 시ㆍ도 계획에는 다음 각 호의 사항이 포함되어야 한다. <신설 2014. 1. 7., 2017. 10. 31., 2018. 3. 20., 2020. 12. 8.>1. 시ㆍ도별 발전목표에 관한 사항1의2. 직전 시ㆍ도 계획의 추진 실적 및 성과 등 평가 결과에 관한 사항2. 시ㆍ도별 현황과 여건분석에 관한 사항3. 지역혁신체계의 구축 및 활성화에 관한 사항, 산업 육성 및 일자리 창출, 국가혁신융복합단지의 지정ㆍ육성, 지역교육여건 개선 및 인재 양성, 과학기술 진흥, 국가균형발전 거점 육성과 교통ㆍ물류망 확충에 관한 사항4. 문화ㆍ관광 육성 및 환경 보전, 복지ㆍ보건의료의 확충에 관한 사항5. 시ㆍ도내 지역 간 불균형 해소에 관한 사항6. 시ㆍ도 간 연계ㆍ협력 발전에 관한 사항7. 지역금융 활성화에 관한 사항8. 지역발전투자협약의 체결에 관한 사항9. 투자재원의 조달에 관한 사항10. 인구감소지역의 지정, 인구감소지역에 대한 시책추진 및 지원에 관한 사항11. 그 밖에 시ㆍ도 발전을 위하여 필요한 사항③ 시ㆍ도지사는 시ㆍ도 계획을 효율적으로 추진하기 위하여 매년 시ㆍ도 발전 시행계획(이하 “시ㆍ도 시행계획”이라 한다)을 수립하여야 한다. <신설 2014. 1. 7.>④ 시ㆍ도지사는 전년도 시ㆍ도 시행계획의 추진 실적과 해당 연도 시ㆍ도 시행계획을 국가균형발전위원회와 관계 중앙행정기관의 장에게 제출하여야 한다. <신설 2014. 1. 7., 2018. 3. 20.>⑤ 시ㆍ도 계획과 시ㆍ도 시행계획의 수립절차 등에 관하여 필요한 사항은 대통령령으로 정한다. <신설 2014. 1. 7.>[전문개정 2009. 4. 22.]"
